City1,City2,Distance
"Austin, TX","Minneapolis, MN",1042.0
"Minneapolis, MN","St. Louis, MO",448.0
"Kalispell, MT","Salt Lake City, UT",531.0
"Detroit, MI","Nashville, TN",456.0
"Atlanta, GA","Greer, SC",153.0
"Minneapolis, MN","Sarasota/Bradenton, FL",1342.0
"Grand Rapids, MI","Minneapolis, MN",408.0
"Atlanta, GA","Lexington, KY",304.0
"Minneapolis, MN","New York, NY",1029.0
"Atlanta, GA","Baton Rouge, LA",448.0
"Asheville, NC","Atlanta, GA",164.0
"Milwaukee, WI","Minneapolis, MN",297.0
"New York, NY","Seattle, WA",2422.0
"Atlanta, GA","Burlington, VT",961.0
"Reno, NV","Salt Lake City, UT",422.0
"Atlanta, GA","Springfield, MO",563.0
"Atlanta, GA","Dallas, TX",721.0
"Houston, TX","Minneapolis, MN",1057.0
"Portland, OR","Seattle, WA",129.0
"Cleveland, OH","Detroit, MI",95.0
"Los Angeles, CA","Minneapolis, MN",1535.0
"Cincinnati, OH","Tampa, FL",773.0
"San Diego, CA","Seattle, WA",1050.0
"Minneapolis, MN","San Jose, CA",1575.0
"Detroit, MI","West Palm Beach/Palm Beach, FL",1086.0
"Albany, NY","Atlanta, GA",853.0
"Memphis, TN","Salt Lake City, UT",1262.0
"Nashville, TN","New York, NY",765.0
"Minneapolis, MN","San Diego, CA",1532.0
"Detroit, MI","St. Louis, MO",440.0
"Madison, WI","Minneapolis, MN",228.0
"Baltimore, MD","Salt Lake City, UT",1865.0
"Kansas City, MO","Los Angeles, CA",1363.0
"Minneapolis, MN","Missoula, MT",1013.0
"Atlanta, GA","Eagle, CO",1312.0
"New York, NY","San Francisco, CA",2586.0
"Atlanta, GA","Honolulu, HI",4502.0
"Atlanta, GA","Detroit, MI",594.0
"Atlanta, GA","New York, NY",760.0
"Atlanta, GA","Los Angeles, CA",1947.0
"Los Angeles, CA","New York, NY",2469.0
"New York, NY","Salt Lake City, UT",1990.0
"Honolulu, HI","Los Angeles, CA",2556.0
"Lihue, HI","Los Angeles, CA",2615.0
"Atlanta, GA","Boston, MA",946.0
"New York, NY","San Diego, CA",2446.0
"Los Angeles, CA","Washington, DC",2288.0
"Lihue, HI","Seattle, WA",2701.0
"Honolulu, HI","Salt Lake City, UT",2994.0
"Kahului, HI","Los Angeles, CA",2486.0
"Chicago, IL","New York, NY",740.0
"Kona, HI","Los Angeles, CA",2504.0
"Las Vegas, NV","New York, NY",2248.0
"Dallas/Fort Worth, TX","New York, NY",1391.0
"Honolulu, HI","Minneapolis, MN",3972.0
"New York, NY","Portland, OR",2454.0
"Kahului, HI","Seattle, WA",2640.0
"Honolulu, HI","Seattle, WA",2677.0
"Boston, MA","Los Angeles, CA",2611.0
"Kona, HI","Seattle, WA",2688.0
"Las Vegas, NV","Minneapolis, MN",1299.0
"Boston, MA","Seattle, WA",2496.0
